"","BB.WLC1.HF","BB.WLC1.SH","LO.WLC1.HF","LO.WLC1.SH"
"ACEPEN",8.83333333333333,11.3333333333333,29.8333333333333,32.75
"ACERUB",10.8,13.8,25.4,27.5
"ACESAC",35.2,25.6666666666667,41.5,32.75
"ALNINC",NA,NA,NA,NA
"AROMEL",NA,NA,NA,NA
"BETALL",11.3333333333333,10.5,28.6666666666667,22.8333333333333
"BETLEN",NA,NA,NA,NA
"BETPAP",10,13,16.4,24.5
"CORCOR",NA,NA,NA,NA
"FAGGRA",32.4,36.8333333333333,35.2,40.8
"FRANIG",NA,NA,NA,NA
"HAMVIR",NA,NA,NA,NA
"ILEMUC",8.83333333333333,8,13,13
"KALANG",NA,NA,NA,NA
"LONCAN",NA,NA,NA,NA
"LYOLIG",NA,NA,NA,NA
"NYSSYL",NA,NA,NA,NA
"POPGRA",20.8,13.8,29.6,24
"PRUPEN",NA,NA,NA,NA
"QUEALB",NA,NA,NA,NA
"QUERUB",26.8,21.6666666666667,29.6,26.3333333333333
"QUEVEL",NA,NA,NA,NA
"RHAFRA",NA,NA,NA,NA
"RHOPRI",NA,NA,NA,NA
"SPIALB",NA,NA,NA,NA
"VACMYR",NA,NA,NA,NA
"VIBCAS",10,8.83333333333333,10,8.83333333333333
"VIBLAN",18.5,13.8,18.5,13.8
